Date,ibov
01-03-2023,105497.0
02-03-2023,104912.0
03-03-2023,104440.0
06-03-2023,105171.0
07-03-2023,105179.0
08-03-2023,106721.0
09-03-2023,106724.0
10-03-2023,105071.0
13-03-2023,103907.0
14-03-2023,104153.0
15-03-2023,103048.0
16-03-2023,103911.0
17-03-2023,103434.0
20-03-2023,102328.0
21-03-2023,101670.0
22-03-2023,101888.0
23-03-2023,101126.0
24-03-2023,99258.0
27-03-2023,99997.0
28-03-2023,101559.0
29-03-2023,102213.0
30-03-2023,104085.0
31-03-2023,104041.0
03-04-2023,101916.0
04-04-2023,103056.0
05-04-2023,101960.0
06-04-2023,101628.0
10-04-2023,102196.0
11-04-2023,106455.0
12-04-2023,108277.0
13-04-2023,107037.0
14-04-2023,106701.0
17-04-2023,106830.0
18-04-2023,106475.0
19-04-2023,106149.0
20-04-2023,104615.0
24-04-2023,104822.0
25-04-2023,103947.0
26-04-2023,103668.0
27-04-2023,103177.0
28-04-2023,104432.0
02-05-2023,104447.0
03-05-2023,102331.0
04-05-2023,103321.0
05-05-2023,105306.0
08-05-2023,106716.0
09-05-2023,107731.0
10-05-2023,107744.0
11-05-2023,108667.0
12-05-2023,108817.0
15-05-2023,109271.0
16-05-2023,110151.0
17-05-2023,109774.0
18-05-2023,110206.0
19-05-2023,111211.0
22-05-2023,111643.0
23-05-2023,111325.0
24-05-2023,109920.0
25-05-2023,111115.0
26-05-2023,111706.0
29-05-2023,111168.0
30-05-2023,111291.0
31-05-2023,109137.0
01-06-2023,110745.0
02-06-2023,113070.0
05-06-2023,113071.0
06-06-2023,114783.0
07-06-2023,115978.0
09-06-2023,117603.0
12-06-2023,117735.0
13-06-2023,117924.0
14-06-2023,119085.0
15-06-2023,119686.0
16-06-2023,119555.0
19-06-2023,119939.0
20-06-2023,119858.0
21-06-2023,120519.0
22-06-2023,120420.0
23-06-2023,119386.0
26-06-2023,119148.0
27-06-2023,119212.0
28-06-2023,117937.0
29-06-2023,118623.0
30-06-2023,119447.0
03-07-2023,119877.0
04-07-2023,119678.0
05-07-2023,120200.0
06-07-2023,119548.0
07-07-2023,119549.0
10-07-2023,118897.0
11-07-2023,117942.0
12-07-2023,119156.0
13-07-2023,119739.0
14-07-2023,119329.0
17-07-2023,118302.0
18-07-2023,118732.0
19-07-2023,118011.0
20-07-2023,118290.0
21-07-2023,120373.0
24-07-2023,121772.0
25-07-2023,123010.0
26-07-2023,122747.0
27-07-2023,122599.0
28-07-2023,120660.0
31-07-2023,122149.0
01-08-2023,121945.0
02-08-2023,121252.0
03-08-2023,122619.0
04-08-2023,121442.0
07-08-2023,120104.0
08-08-2023,119553.0
09-08-2023,119090.0
10-08-2023,119438.0
11-08-2023,119054.0
14-08-2023,118082.0
15-08-2023,117697.0
16-08-2023,117338.0
17-08-2023,116610.0
18-08-2023,115729.0
21-08-2023,115425.0
22-08-2023,116286.0
23-08-2023,118135.0
24-08-2023,118136.0
25-08-2023,117252.0
28-08-2023,117253.0
29-08-2023,118493.0
30-08-2023,118841.0
31-08-2023,117637.0
01-09-2023,117991.0
04-09-2023,118576.0
05-09-2023,117957.0
06-09-2023,117971.0
08-09-2023,115979.0
11-09-2023,117131.0
12-09-2023,118154.0
13-09-2023,119318.0
14-09-2023,119748.0
15-09-2023,119780.0
18-09-2023,119486.0
19-09-2023,118458.0
20-09-2023,119616.0
21-09-2023,118695.0
22-09-2023,116968.0
25-09-2023,116031.0
26-09-2023,115922.0
27-09-2023,115340.0
28-09-2023,115954.0
29-09-2023,116899.0
02-10-2023,116672.0
03-10-2023,115056.0
04-10-2023,114075.0
05-10-2023,114359.0
06-10-2023,114491.0
09-10-2023,115219.0
10-10-2023,116900.0
11-10-2023,117099.0
13-10-2023,117070.0
16-10-2023,116905.0
17-10-2023,116917.0
18-10-2023,115907.0
19-10-2023,115063.0
20-10-2023,114090.0
23-10-2023,113680.0
24-10-2023,114249.0
25-10-2023,114319.0
26-10-2023,114886.0
27-10-2023,115342.0
30-10-2023,114204.0
31-10-2023,113597.0
01-11-2023,115433.0
03-11-2023,118502.0
06-11-2023,118758.0
07-11-2023,119577.0
08-11-2023,119976.0
09-11-2023,120257.0
10-11-2023,120823.0
13-11-2023,120606.0
14-11-2023,123370.0
16-11-2023,124737.0
17-11-2023,125431.0
20-11-2023,126162.0
21-11-2023,125957.0
22-11-2023,126875.0
23-11-2023,126760.0
24-11-2023,126553.0
27-11-2023,125826.0
28-11-2023,126916.0
29-11-2023,127388.0
30-11-2023,127399.0
01-12-2023,128165.0
04-12-2023,128183.0
05-12-2023,127489.0
06-12-2023,127538.0
07-12-2023,126581.0
08-12-2023,127289.0
11-12-2023,127154.0
12-12-2023,127359.0
13-12-2023,129793.0
14-12-2023,131260.0
15-12-2023,131661.0
18-12-2023,131447.0
19-12-2023,132047.0
20-12-2023,132341.0
21-12-2023,132277.0
22-12-2023,133035.0
26-12-2023,133645.0
27-12-2023,134195.0
28-12-2023,134392.0
02-01-2024,134195.0
03-01-2024,133576.0
04-01-2024,132885.0
05-01-2024,132635.0
08-01-2024,132498.0
09-01-2024,132426.0
10-01-2024,131628.0
11-01-2024,131308.0
12-01-2024,131927.0
15-01-2024,131606.0
16-01-2024,131517.0
17-01-2024,129296.0
18-01-2024,129047.0
19-01-2024,127820.0
22-01-2024,127843.0
23-01-2024,128331.0
24-01-2024,129446.0
25-01-2024,128697.0
26-01-2024,129252.0
29-01-2024,129068.0
30-01-2024,128492.0
31-01-2024,129558.0
01-02-2024,128481.0
02-02-2024,128878.0
05-02-2024,127834.0
06-02-2024,130417.0
07-02-2024,130552.0
08-02-2024,130126.0
09-02-2024,128896.0
14-02-2024,128026.0
15-02-2024,127824.0
16-02-2024,129069.0
19-02-2024,129036.0
20-02-2024,129916.0
21-02-2024,130034.0
22-02-2024,130829.0
23-02-2024,130624.0
26-02-2024,129978.0
27-02-2024,131696.0
28-02-2024,131685.0
29-02-2024,130155.0
01-03-2024,129716.0
